x, y, u, v, p, 
0.241029, 0.96996, 0.0481787, 0.00707948, 0.0465767, 
0.71937, 0.0297778, 0.0506702, 0.00191743, -0.029138, 
0.881651, 0.987754, 0.101239, -0.00111729, -0.0589423, 
0.301361, 0.0305601, 0.0357365, -0.00893317, 0.0290031, 
0.442532, 0.976079, 0.0771329, 0.00291783, 0.00131545, 
0.199813, 0.0298349, 0.0254219, -0.00907209, 0.0416111, 
0.295529, 0.0217107, 0.0274229, -0.00641291, 0.0296277, 
0.433679, 0.970522, 0.0827815, 0.00441537, 0.00315277, 
0.727973, 0.951441, 0.291176, 0.00405091, -0.0499971, 
0.714766, 0.0209089, 0.0375703, 0.00156394, -0.0285228, 
0.245499, 0.978802, 0.0448419, 0.00558836, 0.0456072, 
0.581349, 0.0240232, 0.0417568, -0.00275789, -0.0118298, 
0.137555, 0.0287314, 0.0176246, -0.00831477, 0.0472862, 
0.378822, 0.0243879, 0.035637, -0.00652188, 0.0179766, 
0.378936, 0.975784, 0.0672317, 0.00350601, 0.0161489, 
0.900021, 0.0294525, 0.0387568, 0.00683289, -0.0440911, 
0.100631, 0.029547, 0.0133219, -0.00760302, 0.0498833, 
0.201032, 0.975634, 0.0409403, 0.00613946, 0.0540758, 
0.501168, 0.988282, 0.0610321, 0.00178273, -0.0123262, 
0.347217, 0.0482692, 0.0543765, -0.0136037, 0.0226562, 
0.75912, 0.024199, 0.0429331, 0.00259005, -0.0331699, 
0.759348, 0.975948, 0.185298, 0.00147983, -0.0528409, 
0.194886, 0.0207891, 0.0186307, -0.00621655, 0.0420039, 
0.340402, 0.976067, 0.0613061, 0.00407989, 0.0250033, 
0.58013, 0.970534, 0.121773, 0.00265523, -0.0277271, 
0.867028, 0.0491795, 0.0721414, 0.0108693, -0.0426118, 
0.866895, 0.951541, 0.352314, -0.00206245, -0.0591117, 
0.619753, 0.976071, 0.120134, 0.00221551, -0.0346831, 
0.0598653, 0.0296724, 0.0083057, -0.00581122, 0.0519972, 
0.0604656, 0.97027, 0.017648, 0.00840738, 0.0699492, 
0.519612, 0.0298417, 0.0487331, -0.00550075, -0.003011, 
0.572697, 0.0294515, 0.0483029, -0.00400277, -0.0106905, 
0.620092, 0.0238071, 0.0410332, -0.00143669, -0.0168554, 
