x, y, u, v, p, 
0.234835, 0.970158, 0.0346593, 0.00560972, 0.0477904, 
0.245002, 0.964555, 0.0417099, 0.0103013, 0.0458985, 
0.243249, 0.975166, 0.038958, 0.00277739, 0.0460244, 
0.725365, 0.0296432, 0.0449745, 0.00106582, -0.0297821, 
0.715596, 0.0351586, 0.0541737, 0.00260755, -0.0288185, 
0.717149, 0.0245317, 0.0391462, -0.000489551, -0.0287887, 
0.882476, 0.981631, 0.138465, -0.00110171, -0.0589735, 
0.88697, 0.990307, 0.0815796, -0.0115993, -0.0589578, 
0.875506, 0.991324, 0.0814898, -0.0116338, -0.0588428, 
0.297741, 0.036383, 0.0348432, -0.0087456, 0.0294305, 
0.298518, 0.0257369, 0.0262576, -0.00929531, 0.0293326, 
0.307823, 0.0295603, 0.0282359, -0.00932338, 0.0281383, 
0.447857, 0.973092, 0.0674846, 0.00561041, 0.000126137, 
0.441772, 0.98268, 0.0582121, 0.00312206, 0.00150521, 
0.437966, 0.972466, 0.0681329, 0.000368872, 0.00233142, 
0.20599, 0.0298457, 0.0194691, -0.00948152, 0.040996, 
0.195975, 0.0352383, 0.0228126, -0.00814774, 0.0420814, 
0.197473, 0.0244207, 0.0179374, -0.00839441, 0.0418348, 
0.288993, 0.023109, 0.0191674, -0.00684333, 0.0304617, 
0.299075, 0.0162863, 0.0173582, -0.00334968, 0.0293177, 
0.428493, 0.974344, 0.064797, 0.0060379, 0.00454929, 
0.434579, 0.964756, 0.0817733, 0.0034892, 0.00333056, 
0.721864, 0.952162, 0.277985, 0.00409668, -0.0493649, 
0.731366, 0.94532, 0.317521, 0.00661776, -0.0504152, 
0.73069, 0.956842, 0.26642, 0.00234663, -0.0502902, 
0.70869, 0.0218551, 0.0304939, 0.000184126, -0.0277906, 
0.718459, 0.0163398, 0.0255776, 0.00165933, -0.0287297, 
0.251708, 0.977818, 0.0332724, 0.00310545, 0.0442837, 
0.241541, 0.98342, 0.0360533, 0.00547207, 0.0460576, 
0.580626, 0.0175914, 0.0272708, -0.00258714, -0.0117138, 
0.586381, 0.0268771, 0.036505, -0.00417544, -0.0125556, 
0.577038, 0.0276012, 0.0382397, -0.00156462, -0.0112114, 
0.140846, 0.0343136, 0.0167938, -0.0100188, 0.0471111, 
0.131297, 0.0286165, 0.0117288, -0.0076069, 0.0477341, 
